GameKey,SeasonType,Season,Week,Date,AwayTeam,HomeTeam,Channel,PointSpread,OverUnder,StadiumID,Canceled,GeoLat,GeoLong,ForecastTempLow,ForecastTempHigh,ForecastDescription,ForecastWindChill,ForecastWindSpeed,AwayTeamMoneyLine,HomeTeamMoneyLine,Day,DateTime,GlobalGameID,GlobalAwayTeamID,GlobalHomeTeamID,ScoreID,Status,StadiumDetails
202010509,1,2020,5,2020-10-11T16:25:00,NYG,DAL,CBS,-5.3,36.7,17,FALSE,,,83,84,Clear Sky,83,18,215,-269,2020-10-11T00:00:00,2020-10-11T16:25:00,17339,23,9,17339,Final,"{'StadiumID': 17, 'Name': 'AT&T Stadium', 'City': 'Arlington', 'State': 'TX', 'Country': 'USA', 'Capacity': 80000, 'PlayingSurface': 'Artificial', 'GeoLat': 32.747778, 'GeoLong': -97.092778, 'Type': 'RetractableDome'}"
202010521,1,2020,5,2020-10-11T16:25:00,DEN,NE,CBS,-3.6,,4,FALSE,,,52,53,Overcast Clouds,53,9,,,2020-10-11T00:00:00,2020-10-11T16:25:00,17331,10,21,17331,Postponed,"{'StadiumID': 4, 'Name': 'Gillette Stadium', 'City': 'Foxborough', 'State': 'MA', 'Country': 'USA', 'Capacity': 68756, 'PlayingSurface': 'Artificial', 'GeoLat': 42.090866, 'GeoLong': -71.264244, 'Type': 'Outdoor'}"
202010530,1,2020,5,2020-10-11T20:20:00,MIN,SEA,NBC,-4.6,38.5,31,FALSE,,,58,58,Light Rain,58,15,171,-210,2020-10-11T00:00:00,2020-10-11T20:20:00,17340,20,30,17340,Final,"{'StadiumID': 31, 'Name': 'Lumen Field', 'City': 'Seattle', 'State': 'WA', 'Country': 'USA', 'Capacity': 67000, 'PlayingSurface': 'Artificial', 'GeoLat': 47.5952, 'GeoLong': -122.331625, 'Type': 'Outdoor'}"
202010522,1,2020,5,2020-10-12T20:15:00,LAC,NO,ESPN,-5,35.3,27,FALSE,,,74,76,Clear Sky,76,6,198,-245,2020-10-12T00:00:00,2020-10-12T20:15:00,17341,29,22,17341,F/OT,"{'StadiumID': 27, 'Name': 'Mercedes-Benz Superdome', 'City': 'New Orleans', 'State': 'LA', 'Country': 'USA', 'Capacity': 73208, 'PlayingSurface': 'Artificial', 'GeoLat': 29.950833, 'GeoLong': -90.081111, 'Type': 'Dome'}"
202010534,1,2020,5,2020-10-13T19:00:00,BUF,TEN,CBS,1.5,37.1,12,FALSE,,,56,60,Clear Sky,56,2,-118,101,2020-10-13T00:00:00,2020-10-13T19:00:00,17329,4,34,17329,Final,"{'StadiumID': 12, 'Name': 'Nissan Stadium', 'City': 'Nashville', 'State': 'TN', 'Country': 'USA', 'Capacity': 6914, 'PlayingSurface': 'Grass', 'GeoLat': 36.166389, 'GeoLong': -86.771389, 'Type': 'Outdoor'}"
,1,2020,6,,BYE,LAC,,,,,,,,,,,,1,,,,,0,0,29,0,,
,1,2020,6,,BYE,LV,,,,,,,,,,,,1,,,,,0,0,25,0,,
,1,2020,6,,BYE,NO,,,,,,,,,,,,1,,,,,0,0,22,0,,
,1,2020,6,,BYE,SEA,,,,,,,,,,,,1,,,,,0,0,30,0,,
202010605,1,2020,6,2020-10-18T13:00:00,CHI,CAR,FOX,-1.4,32.1,26,FALSE,,,52,53,Few Clouds,52,4,77,-91,2020-10-18T00:00:00,2020-10-18T13:00:00,17349,6,5,17349,Final,"{'StadiumID': 26, 'Name': 'Bank of America Stadium', 'City': 'Charlotte', 'State': 'NC', 'Country': 'USA', 'Capacity': 73778, 'PlayingSurface': 'Grass', 'GeoLat': 35.225833, 'GeoLong': -80.852778, 'Type': 'Outdoor'}"
202010614,1,2020,6,2020-10-18T13:00:00,CIN,IND,FOX,-5.3,32.8,9,FALSE,,,67,69,Broken Clouds,67,2,213,-267,2020-10-18T00:00:00,2020-10-18T13:00:00,17344,7,14,17344,Final,"{'StadiumID': 9, 'Name': 'Lucas Oil Stadium', 'City': 'Indianapolis', 'State': 'IN', 'Country': 'USA', 'Capacity': 67000, 'PlayingSurface': 'Artificial', 'GeoLat': 39.760056, 'GeoLong': -86.163806, 'Type': 'RetractableDome'}"
202010615,1,2020,6,2020-10-18T13:00:00,DET,JAX,FOX,1.5,37.8,10,FALSE,,,74,75,Light Rain,75,9,-121,103,2020-10-18T00:00:00,2020-10-18T13:00:00,17350,11,15,17350,Final,"{'StadiumID': 10, 'Name': 'TIAA Bank Field', 'City': 'Jacksonville', 'State': 'FL', 'Country': 'USA', 'Capacity': 67246, 'PlayingSurface': 'Grass', 'GeoLat': 30.323889, 'GeoLong': -81.6375, 'Type': 'Outdoor'}"
202010620,1,2020,6,2020-10-18T13:00:00,ATL,MIN,FOX,-2.5,38.1,42,FALSE,,,32,34,Overcast Clouds,32,2,116,-137,2020-10-18T00:00:00,2020-10-18T13:00:00,17345,2,20,17345,Final,"{'StadiumID': 42, 'Name': 'U.S. Bank Stadium', 'City': 'Minneapolis', 'State': 'MN', 'Country': 'USA', 'Capacity': 66655, 'PlayingSurface': 'Artificial', 'GeoLat': 44.974288, 'GeoLong': -93.258, 'Type': 'Dome'}"
202010621,1,2020,6,2020-10-18T13:00:00,DEN,NE,CBS,-5,31.4,4,FALSE,,,42,43,Scattered Clouds,42,1,207,-254,2020-10-18T00:00:00,2020-10-18T13:00:00,17578,10,21,17578,Final,"{'StadiumID': 4, 'Name': 'Gillette Stadium', 'City': 'Foxborough', 'State': 'MA', 'Country': 'USA', 'Capacity': 68756, 'PlayingSurface': 'Artificial', 'GeoLat': 42.090866, 'GeoLong': -71.264244, 'Type': 'Outdoor'}"
202010623,1,2020,6,2020-10-18T13:00:00,WAS,NYG,FOX,-1.4,29.9,3,FALSE,,,56,57,Few Clouds,56,4,81,-94,2020-10-18T00:00:00,2020-10-18T13:00:00,17346,35,23,17346,Final,"{'StadiumID': 3, 'Name': 'MetLife Stadium', 'City': 'East Rutherford', 'State': 'NJ', 'Country': 'USA', 'Capacity': 82500, 'PlayingSurface': 'Artificial', 'GeoLat': 40.813528, 'GeoLong': -74.074361, 'Type': 'Outdoor'}"
202010626,1,2020,6,2020-10-18T13:00:00,BAL,PHI,CBS,5.1,33.2,18,FALSE,,,55,56,Broken Clouds,55,3,-335,260,2020-10-18T00:00:00,2020-10-18T13:00:00,17347,3,26,17347,Final,"{'StadiumID': 18, 'Name': 'Lincoln Financial Field', 'City': 'Philadelphia', 'State': 'PA', 'Country': 'USA', 'Capacity': 68532, 'PlayingSurface': 'Grass', 'GeoLat': 39.900833, 'GeoLong': -75.167469, 'Type': 'Outdoor'}"
